sentiment,n,proportion
positive,5010,49.56470122675109
negative,1462,14.46379105658884
fear,1129,11.169370795409577
sadness,780,7.716660071230709
surprise,734,7.261574990106847
anger,449,4.442026117926394
joy,302,2.9877324891175308
disgust,242,2.3941432528690147
