word,sentiment,n
différence,negative,3
différent,negative,3
diminuer,negative,3
divers,positive,3
docteur,positive,3
domaine,positive,3
dormir,positive,3
définir,positive,3
dégrader,negative,3
délétère,negative,3
enfant,positive,3
envoyer,positive,3
essentiel,positive,3
faciliter,positive,3
financier,positive,3
gériatrique,negative,3
immédiatement,positive,3
impossible,negative,3
inclus,positive,3
indispensable,positive,3
inquiétude,negative,3
ligne,positive,3
logistique,positive,3
moindre,negative,3
montagne,positive,3
notion,positive,3
obligatoire,positive,3
opérationnel,positive,3
organe,positive,3
organiser,positive,3
patienter,negative,3
paye,positive,3
performance,positive,3
pièce,positive,3
ponction,negative,3
poser,positive,3
praticien,positive,3
principalement,positive,3
proposer,positive,3
protection,positive,3
précis,positive,3
précédemment,positive,3
présent,positive,3
période,negative,3
radiologie,positive,3
recruter,positive,3
relation,positive,3
respectueux,positive,3
ressource,positive,3
réactivité,positive,3
répartition,positive,3
satisfaction,positive,3
senior,positive,3
servir,negative,3
simplement,positive,3
soudain,negative,3
soutien,positive,3
stagnation,negative,3
statut,positive,3
suspicion,negative,3
suture,negative,3
systématique,positive,3
séparer,negative,3
technicité,positive,3
terrain,positive,3
terre,positive,3
unique,negative,3
unité,positive,3
valeur,positive,3
variété,positive,3
visite,positive,3
volonté,positive,3
écran,positive,3
éducation,positive,3
égal,positive,3
étude,positive,3
évoluer,positive,3
absorber,positive,2
adaptabilité,positive,2
adéquation,positive,2
afflux,negative,2
agressif,negative,2
amélioration,positive,2
anticipation,positive,2
anticiper,positive,2
arrêt,negative,2
assistance,positive,2
baisse,negative,2
bannir,negative,2
bassin,positive,2
beau,positive,2
budget,positive,2
bâtiment,positive,2
bénigne,positive,2
bénéfice,positive,2
causer,negative,2
cellule,negative,2
centrale,positive,2
choix,positive,2
claire,positive,2
commun,positive,2
commune,positive,2
communiquer,positive,2
complication,negative,2
compromettre,positive,2
con,negative,2
concentrer,positive,2
condition,positive,2
conflit,negative,2
connaître,positive,2
consacrer,positive,2
continu,positive,2
continuer,positive,2
continuité,positive,2
contre,negative,2
couper,negative,2
crise,negative,2
dangereux,negative,2
dernier,negative,2
dignité,positive,2
diminution,negative,2
discipline,negative,2
disposition,positive,2
donnée,positive,2
débuter,positive,2
déclenchement,positive,2
dépendant,negative,2
déplacer,negative,2
déshabiller,positive,2
effort,positive,2
enfer,negative,2
engagement,positive,2
entorse,negative,2
entraîner,positive,2
entretien,positive,2
environ,positive,2
essentiellement,positive,2
expertise,positive,2
exposer,negative,2
expérience,positive,2
faible,negative,2
fermer,positive,2
fiable,positive,2
filtre,positive,2
fièvre,negative,2
flexibilité,positive,2
forme,positive,2
former,positive,2
gagner,positive,2
garder,positive,2
geste,positive,2
général,positive,2
généralement,positive,2
génération,positive,2
gêne,negative,2
humanité,positive,2
immense,positive,2
indécent,negative,2
infection,negative,2
information,positive,2
inférieur,negative,2
installation,positive,2
inutile,negative,2
judiciaire,positive,2
lave,negative,2
légal,positive,2
légitime,positive,2
malheureusement,negative,2
massage,positive,2
menacer,negative,2
menaçant,negative,2
mental,negative,2
mobile,positive,2
mobilisation,positive,2
mobiliser,positive,2
monter,positive,2
moral,positive,2
nette,positive,2
nom,positive,2
norme,positive,2
négocier,positive,2
offre,positive,2
ouverture,positive,2
panne,negative,2
parler,positive,2
participer,positive,2
particulier,negative,2
passionnant,positive,2
penser,positive,2
perdre,negative,2
petit,negative,2
plâtre,negative,2
porte,positive,2
prescrire,positive,2
processus,positive,2
procédure,positive,2
protéger,positive,2
préjudice,negative,2
préserver,positive,2
prévenir,positive,2
prêt,positive,2
psychique,negative,2
pénibilité,negative,2
pénurie,negative,2
péril,negative,2
quasi,positive,2
recommandation,positive,2
reconnaissant,positive,2
recrutement,positive,2
refus,negative,2
regard,positive,2
rendre,positive,2
renfort,positive,2
renouvellement,positive,2
repas,positive,2
reporter,negative,2
représentant,positive,2
requérant,negative,2
ressentir,positive,2
retour,positive,2
revalorisation,positive,2
revanche,negative,2
riche,positive,2
route,positive,2
réalisation,positive,2
récemment,positive,2
récent,positive,2
réception,positive,2
récupération,positive,2
régional,positive,2
secours,positive,2
sentir,positive,2
serein,positive,2
sieste,positive,2
signe,positive,2
sol,positive,2
souffrance,negative,2
soulagement,positive,2
sport,positive,2
stabilité,positive,2
stable,positive,2
stress,negative,2
suite,positive,2
suivant,negative,2
supérieur,positive,2
surcharge,negative,2
survie,positive,2
susceptible,negative,2
sympathique,positive,2
symptomatique,negative,2
série,positive,2
tache,negative,2
tactile,positive,2
tenir,positive,2
trier,positive,2
trio,positive,2
tâche,negative,2
utilisation,positive,2
utopique,positive,2
vaste,positive,2
vide,negative,2
vivant,positive,2
volume,negative,2
âge,negative,2
échange,positive,2
échelle,positive,2
écho,positive,2
échéance,negative,2
énergie,positive,2
équivalent,positive,2
évolution,positive,2
évoquer,positive,2
aboutir,positive,1
acceptant,positive,1
accepter,positive,1
accord,positive,1
accro,negative,1
accéder,positive,1
acoustique,positive,1
active,positive,1
administration,positive,1
admission,positive,1
adresse,positive,1
adresser,positive,1
affection,positive,1
agent,positive,1
aggraver,negative,1
agir,positive,1
aiguiller,positive,1
alentour,positive,1
anomalie,negative,1
apaisant,positive,1
appareil,positive,1
applicable,positive,1
application,positive,1
apporter,positive,1
appuyer,positive,1
argent,positive,1
arriver,positive,1
arrêté,positive,1
association,positive,1
assurer,positive,1
atteindre,positive,1
autorisation,positive,1
avancer,positive,1
batterie,positive,1
bibliographie,positive,1
bizarre,negative,1
blanchisserie,positive,1
blocus,negative,1
boucher,negative,1
bref,positive,1
brusque,negative,1
bruyant,negative,1
bénéficier,positive,1
cacher,negative,1
calmement,positive,1
camion,positive,1
campagne,positive,1
casque,positive,1
centrer,positive,1
cercle,positive,1
chaise,positive,1
chaleureux,positive,1
champ,positive,1
changer,positive,1
chasse,negative,1
chaud,positive,1
chauffeur,positive,1
chirurgien,positive,1
choc,negative,1
choisir,positive,1
circulaire,positive,1
citoyen,positive,1
civilité,positive,1
classique,positive,1
clé,positive,1
colique,negative,1
collectif,positive,1
combinaison,positive,1
commander,positive,1
commencer,positive,1
commission,positive,1
compatible,positive,1
compensation,positive,1
complexité,negative,1
complètement,positive,1
complémentaire,positive,1
compter,positive,1
conclusion,positive,1
condamnation,negative,1
conduire,positive,1
conforme,positive,1
confusion,negative,1
conscient,positive,1
consommation,positive,1
constipation,negative,1
construction,positive,1
construire,positive,1
contrairement,negative,1
contrariété,negative,1
correct,positive,1
couloir,positive,1
coup,negative,1
courant,positive,1
courir,positive,1
coût,negative,1
coûteux,negative,1
croisade,negative,1
croissant,positive,1
croix,positive,1
cruel,negative,1
cursus,positive,1
date,positive,1
demander,negative,1
demeure,positive,1
demi,negative,1
dense,positive,1
devenir,positive,1
devoir,positive,1
différemment,positive,1
différer,negative,1
disciplinaire,negative,1
discussion,positive,1
dispenser,positive,1
dispositif,positive,1
distance,negative,1
distinction,positive,1
distinguer,positive,1
diversité,positive,1
dos,positive,1
dossier,positive,1
dotation,positive,1
double,positive,1
doublure,positive,1
droit,positive,1
dur,negative,1
durable,positive,1
débordement,negative,1
début,positive,1
décharger,negative,1
décoration,positive,1
découverte,positive,1
défectueux,negative,1
délégation,positive,1
désagréable,negative,1
détacher,positive,1
echo,positive,1
efficacement,positive,1
efficacité,positive,1
empêcher,negative,1
enchaîner,negative,1
encombrer,negative,1
engager,positive,1
enjeu,positive,1
enseignement,positive,1
entraînant,positive,1
enveloppe,positive,1
errance,negative,1
escroquer,negative,1
espoir,positive,1
esprit,positive,1
espérance,positive,1
esthétique,positive,1
estimer,positive,1
excellence,positive,1
exceptionnel,positive,1
exclure,negative,1
exclusion,negative,1
exhaustif,positive,1
exigeant,negative,1
existant,positive,1
existence,positive,1
exister,positive,1
expliquer,positive,1
facteur,positive,1
faisabilité,positive,1
ferment,negative,1
finir,negative,1
flotte,positive,1
fonctionner,positive,1
fouet,negative,1
fournir,positive,1
frein,negative,1
froid,negative,1
frustration,negative,1
futur,positive,1
garage,positive,1
gorge,negative,1
grade,positive,1
grandement,positive,1
gratuit,positive,1
grignoter,positive,1
grippe,negative,1
grouper,positive,1
guide,positive,1
guérir,positive,1
gynécologie,negative,1
géant,negative,1
générique,positive,1
gérant,positive,1
habitation,positive,1
habituel,positive,1
habituellement,positive,1
hauteur,positive,1
homogène,positive,1
horaire,positive,1
humain,positive,1
hygiène,positive,1
hémorragie,negative,1
hérésie,negative,1
hésiter,negative,1
identique,positive,1
imminent,negative,1
impact,negative,1
inadéquation,negative,1
inconfort,negative,1
inconfortable,negative,1
indication,positive,1
indépendant,positive,1
infarctus,negative,1
informer,positive,1
initial,positive,1
initiative,positive,1
injection,negative,1
instabilité,negative,1
institution,positive,1
insulte,negative,1
intention,positive,1
interaction,positive,1
interchangeable,positive,1
interdiction,negative,1
interrogatoire,negative,1
interroger,negative,1
interruption,negative,1
intégration,positive,1
intérieur,positive,1
intérêt,positive,1
investigation,positive,1
involontaire,negative,1
inébranlable,positive,1
joindre,positive,1
jouer,positive,1
juger,negative,1
juridique,positive,1
justifier,positive,1
laboratoire,positive,1
labyrinthe,negative,1
lente,negative,1
libéral,positive,1
limitation,positive,1
lisible,positive,1
local,positive,1
localisation,positive,1
loi,positive,1
lombaire,positive,1
lourd,negative,1
lourde,negative,1
lutte,negative,1
luxe,positive,1
majorité,positive,1
maltraitance,negative,1
manger,positive,1
marcher,positive,1
masser,positive,1
massif,negative,1
mat,negative,1
mauvais,negative,1
maximal,positive,1
mec,negative,1
membre,positive,1
menace,negative,1
mer,positive,1
mesurer,positive,1
micro,positive,1
minuit,positive,1
minute,positive,1
mixer,positive,1
mobilité,positive,1
mode,positive,1
modification,negative,1
modèle,positive,1
montrer,positive,1
mort,negative,1
mortalité,negative,1
moteur,positive,1
multiplication,positive,1
multiplier,positive,1
musique,positive,1
mutuel,positive,1
médiation,positive,1
méthode,positive,1
naissance,positive,1
national,positive,1
nature,positive,1
neurologie,positive,1
nocturne,negative,1
normal,positive,1
nouveau,positive,1
nouvellement,positive,1
numéro,positive,1
nécessiter,positive,1
négatif,negative,1
négociation,positive,1
obligation,negative,1
obsolète,negative,1
occuper,negative,1
omniscient,positive,1
optimiste,positive,1
optique,positive,1
ordonnance,positive,1
organique,positive,1
ouvrir,positive,1
paie,positive,1
paillasson,negative,1
palliatif,positive,1
pandémie,negative,1
panique,negative,1
papier,positive,1
pardon,positive,1
parmi,positive,1
parole,positive,1
partager,positive,1
participation,positive,1
partiel,negative,1
passerelle,positive,1
pastel,positive,1
pathos,positive,1
patience,positive,1
pays,positive,1
paysage,positive,1
peine,negative,1
pelle,positive,1
personnalité,positive,1
pertinent,positive,1
pharmacie,positive,1
pied,positive,1
pilier,positive,1
plafond,positive,1
plage,positive,1
planche,positive,1
planification,positive,1
police,positive,1
pont,positive,1
porche,positive,1
portable,positive,1
porter,positive,1
